id,player_name,games,min_PG,goals_season,xG_season,assists_season,xA_season,shots_season,key_passes_season,yellow_cards,red_cards,position,team_title,npg_season,npxG_season
10967,Mile Svilar,9,90.0,0,0.08,0,0.0,1,0,0,0,GK,Roma,0,0.08
10985,Sulemana,3,8.67,0,0.0,0,0.0,0,0,0,0,S,Atalanta,0,0.0
10993,Federico Gatti,8,78.0,0,0.6,0,0.01,6,1,0,0,D S,Juventus,0,0.6
11022,Simone Perilli,1,90.0,0,0.0,0,0.0,0,0,0,0,GK,Verona,0,0.0
11027,Emanuele Valeri,7,72.0,0,0.06,2,0.61,3,5,0,0,D,Parma Calcio 1913,0,0.06
11038,Jhon Lucumí,6,66.5,0,0.07,1,0.02,2,1,2,1,D S,Bologna,0,0.07
11049,Reda Belahyane,10,87.5,0,0.1,2,0.95,3,6,3,1,M S,Verona,0,0.1
11053,Isak Hien,7,75.43,0,0.49,0,0.0,2,0,2,0,D,Atalanta,0,0.49
11054,Juan Cabal,6,76.17,0,0.12,0,0.17,4,1,0,0,D,Juventus,0,0.12
11278,Gvidas Gineitis,5,27.4,0,0.09,1,0.43,4,3,0,0,M S,Torino,0,0.09
11279,Ali Dembélé,6,7.0,0,0.0,0,0.0,0,0,2,0,S,Torino,0,0.0
11281,Michael Kayode,2,8.0,0,0.09,0,0.0,1,0,0,0,S,Fiorentina,0,0.09
11289,Ola Solbakken,9,48.44,0,0.76,0,0.22,3,4,1,0,F M S,Empoli,0,0.76
11299,Devis Vásquez,10,90.0,0,0.0,0,0.0,0,0,2,0,GK,Empoli,0,0.0
11306,Cyril Ngonge,2,32.0,0,0.28,0,0.03,7,1,1,0,F S,Napoli,0,0.28
11378,Máximo Perrone,8,82.25,0,0.7,1,0.62,4,15,1,0,M S,Como,0,0.7
11380,Vitinha,7,72.57,0,0.81,1,1.18,14,3,0,0,F S,Genoa,0,0.81
11418,Alphadjo Cissè,1,1.0,0,0.02,0,0.0,1,0,0,0,S,Verona,0,0.02
11463,Aaron Ciammaglichella,1,1.0,0,0.0,0,0.0,0,0,0,0,S,Torino,0,0.0
11498,Mirko Maric,3,19.67,0,0.0,0,0.0,0,0,0,0,F S,Monza,0,0.0
11551,Marco Palestra,5,9.6,0,0.0,0,0.16,0,2,0,0,S,Atalanta,0,0.0
11752,Amir Richardson,5,38.0,0,0.17,0,0.04,3,1,2,0,M S,Fiorentina,0,0.17
11800,Arthur Atta,2,11.5,0,0.0,0,0.06,0,1,0,0,S,Udinese,0,0.0
11877,Michael Folorunsho,3,6.33,0,0.0,0,0.0,0,0,0,0,S,Napoli,0,0.0
